id,title,brand,model,year,price,currency,mileage,exterior_color,city,state
2692385479,Kia Sorento 2.5t Gdi Sxl Dct,Kia,Sorento,2020,992200,MXN,0,Unknown,Culiacán,Sinaloa
2760786111,Audi A1 Sportback A1 Sportback 35tfsi 150hp Ego Bpm,Audi,A1,2024,565924,MXN,0,Unknown,Atizapán De Zaragoza,Estado De México
5140686506,Nissan V-drive Base,Nissan,V,2023,259999,MXN,56000,Unknown,Miguel Hidalgo,Distrito Federal
4366919080,Chevrolet Captiva 1.5 Premier Black Edition 7p Cvt,Chevrolet,Captiva,2025,494900,MXN,0,Unknown,Hermosillo,Sonora
2738867949,Chevrolet Suburban 6.2 High Country 4x4 At,Chevrolet,Suburban,2024,1795000,MXN,0,Unknown,Iztacalco,Distrito Federal
2674768305,Mitsubishi L200 2.4 Cd Glx 4x2 Mt,Mitsubishi,L200,2020,459900,MXN,0,Unknown,Alvaro Obregón,Distrito Federal
2630837619,Ford Ranger 2.3 Wildtrak 4x4 At,Ford,Ranger,2024,839900,MXN,0,Unknown,León,Guanajuato
4321413406,Ram Ram 1200 2.4t Big Horn Crew Cab Rwd At,RAM,Ram,2025,594900,MXN,0,Unknown,Mexico,
5022869944,Nissan Nv350 2.5 14 Pasajeros Amplia Aa,Nissan,Nv350,2023,786000,MXN,100,Unknown,Monterrey,Nuevo León
2814723783,Nissan Pathfinder 3.5 Platinum 4x4 At,Nissan,Pathfinder,2024,1130000,MXN,0,Unknown,Alvaro Obregón,Distrito Federal
2654552515,Ford Bronco Sport 2.0t Ecoboost Badlands Sasquatch,Ford,Bronco,2025,931100,MXN,0,Unknown,Zapopan,Jalisco
2543054733,Ram Ram 1200 2.4t Laramie Crew Cab 4wd At,RAM,Ram,2025,684900,MXN,0,Unknown,Mexico,
4964602062,Ford Ranger Wild Trak C Cab 4x4 2.3l Ta,Ford,Ranger,2024,1103500,MXN,0,Unknown,Naucalpan,Estado De México
5057914344,Audi Q5 2.0 L 45 Tfsi S Line Quattro,Audi,Q5,2020,1468400,MXN,0,Unknown,La Magdalena Contreras,Distrito Federal
4321413170,Ram Ram 1200 2.4t Tradesman Regular Cab Rwd,RAM,Ram,2025,449900,MXN,0,Unknown,Mexico,
4398056658,Ram 2500 Hd Power Wagon 6.4 Power Wagon At8,RAM,2500,2024,1564900,MXN,0,Unknown,Mexico,
5015430366,Toyota 4runner Limited Hev Blindada,Toyota,4Runner,2020,2094900,MXN,0,Unknown,Gustavo A. Madero,Distrito Federal
4321220916,Ram Ram 1200 2.4t Tradesman Crew Cab Rwd,RAM,Ram,2025,499400,MXN,0,Unknown,Mexico,
5090828808,Audi A1 Sportback 1. 0 Sportback 30 Tfsi Cool,Audi,A1,2024,465500,MXN,1700,Unknown,Huixquilucan,Estado De México
2844522813,Nissan V-drive 1.6 Mt A/c Audio,Nissan,V,2023,259999,MXN,68290,Unknown,Miguel Hidalgo,Distrito Federal
5147978610,Audi A1 Sportback 1.5 35 Tfsi Ego,Audi,A1,2024,499000,MXN,21066,Unknown,Miguel Hidalgo,Distrito Federal
2760630317,Audi A4 2.0 T 40 Tfsi Dynamic 190hp,Audi,A4,2024,759722,MXN,0,Unknown,Atizapán De Zaragoza,Estado De México
2752420955,Mercedes-benz Clase Gle Gle 53 Amg Coupe (hybrid),Mercedes-Benz,Benz,2020,2131100,MXN,0,Unknown,Cuajimalpa De Morelos,Distrito Federal
2755848401,Mitsubishi L200 2.4 Cd Glx 4x2 Mt,Mitsubishi,L200,2020,499900,MXN,0,Unknown,Cuautitlán Izcalli,Estado De México
4777695238,Mercedes-benz Sprinter Cargo 417,Mercedes-Benz,Benz,2020,986001,MXN,0,Unknown,Cuautitlán Izcalli,Estado De México
2475358373,Jeep Grand Cherokee Limited 3.6 Limited V6 4x2 At,Jeep,Grand,2024,1260900,MXN,0,Unknown,Ecatepec De Morelos,Estado De México
2831126145,Jeep Cherokee 1.6t Hev Limited 4x4 Cvt,Jeep,Cherokee,2020,899900,MXN,0,Unknown,Mexico,
2843088327,Mercedes-benz Clase Gle 3.0 450 4matic Coupe,Mercedes-Benz,Benz,2025,1730000,MXN,0,Unknown,Huixquilucan,Estado De México
2437796041,Jeep Compass 1.3t Altitude Fwd At6,Jeep,Compass,2025,611900,MXN,0,Unknown,Mexico,
2759419535,Mercedes-benz Clase Gls 3.0 450 4matic,Mercedes-Benz,Benz,2024,1750000,MXN,0,Unknown,Huixquilucan,Estado De México
5146944004,Chevrolet Suburban 5.3 Rst 4x4 At,Chevrolet,Suburban,2025,1978500,MXN,0,Unknown,Benito Juárez,Distrito Federal
4960443908,Lincoln Navigator Reserve,Lincoln,Navigator,2020,2269900,MXN,0,Unknown,Pachuca De Soto,Hidalgo
2437707887,Jeep Compass 2.0t High Altitude Awd At,Jeep,Compass,2025,768900,MXN,0,Unknown,Mexico,
2843044989,Mercedes-benz Clase Gle 3.0 450 4matic Sport,Mercedes-Benz,Benz,2025,1609000,MXN,0,Unknown,Huixquilucan,Estado De México
2831509593,Audi A1 Sportback 1.5 35 Tfsi Ego,Audi,A1,2024,449000,MXN,30768,Unknown,Cuauhtémoc,Distrito Federal
2824337089,Audi A1 Sportback 1.5 35 Tfsi Ego,Audi,A1,2024,449500,MXN,26247,Unknown,Miguel Hidalgo,Distrito Federal
2846423881,Bmw Serie 5 2.0 530e Hibrido Conectable,BMW,Serie,2020,1549900,MXN,0,Unknown,Acapulco,Guerrero
2775872841,Bmw Serie 5 520 (automatico),BMW,Serie,2020,1353400,MXN,0,Unknown,Hermosillo,Sonora
4040891910,Jeep Compass 1.3t Limited Premium Fwd At6,Jeep,Compass,2025,581900,MXN,0,Unknown,Mexico,
2845902891,Kia Sorento 2.4 L4 Ex Piel 7 Pasajeros At,Kia,Sorento,2021,435000,MXN,96676,Unknown,Puebla,Puebla
2485995615,Jeep Jt 3.6 V6 Mojave 4x4 At,Jeep,Jt,2025,1598900,MXN,0,Unknown,Mexico,
2564538419,Ram Ram 1500 3.6 Bighorn V6 Crew Cab 4x4,RAM,Ram,2025,1140000,MXN,0,Unknown,Mexico,
5139113872,Audi A4 2.0 T Trendy Multitronic Cvt,Audi,A4,2009,119500,MXN,129600,Unknown,Tlalnepantla De Baz,Estado De México
2846525559,Bmw X5 4.4 V8 M60i,BMW,X5,2020,1929900,MXN,0,Unknown,Acapulco,Guerrero
2794836185,Lincoln Navigator 3.5 Ultra Black Label,Lincoln,Navigator,2020,3201800,MXN,0,Unknown,Huixquilucan,Estado De México
4306926952,Dodge Durango 3.6l V6 Gt Plus At,Dodge,Durango,2025,1134900,MXN,0,Unknown,Mexico,
2687024281,Jeep Grand Cherokee 5.7 Summit,Jeep,Grand,2022,1198000,MXN,23081,Unknown,Amozoc,Puebla
5043568070,Suzuki Vitara 1.6 Glx At,Suzuki,Vitara,2018,258000,MXN,69000,Unknown,Tlalpan,Distrito Federal
5107967182,Volkswagen Caddy 1.6 Pasajeros Mt,Volkswagen,Caddy,2019,339000,MXN,60000,Unknown,Naucalpan,Estado De México
2831799855,Volkswagen Taigun 1.0 Tsi Trendline At,Volkswagen,Taigun,2025,370490,MXN,0,Unknown,Miguel Hidalgo,Distrito Federal
2755561683,Ford Ranger Wild Trak C Cab 4x4 2.3l Ta,Ford,Ranger,2020,973500,MXN,0,Unknown,Naucalpan,Estado De México
5107917968,Nissan Nv350 2.5 14 Pasajeros Amplia Aa,Nissan,Nv350,2023,654000,MXN,52514,Unknown,León,Guanajuato
2804146413,Nissan Nv350 2.5 14 Pasajeros Amplia Aa,Nissan,Nv350,2023,654000,MXN,52226,Unknown,León,Guanajuato
4165856628,Jeep Jt 3.6 V6 Rubicon 4x4 At,Jeep,Jt,2025,1545900,MXN,0,Unknown,Mexico,
2691858551,Ford Territory Trend Fhev 1.5l Ta,Ford,Territory,2020,639900,MXN,0,Unknown,Pachuca De Soto,Hidalgo
5139253660,Audi Q3 Sportback 2.0 40 Tfsi S-line 180hp At,Audi,Q3,2024,685000,MXN,75250,Unknown,Cuernavaca,Morelos
2831126135,Jeep Cherokee 1.6t Hev Overland 4x4 Cvt,Jeep,Cherokee,2020,949900,MXN,0,Unknown,Mexico,
2794729359,Audi Q2 1.4 35 Tfsi Sport,Audi,Q2,2021,499000,MXN,61060,Unknown,Huixquilucan,Estado De México
4185157772,Volkswagen Crafter Cargo Van 3.5t Mwb,Volkswagen,Crafter,2025,846983,MXN,0,Unknown,Cuauhtémoc,Distrito Federal
4618872962,Kia Sportage 2.0 Ex At,Kia,Sportage,2018,259000,MXN,97584,Unknown,Naucalpan,Estado De México
2703399159,Nissan Kicks E-power 1.2 Advance,Nissan,Kicks,2020,496900,MXN,0,Unknown,Coyoacán,Distrito Federal
2812949349,Volkswagen Transporter Caravelle,Volkswagen,Transporter,2020,1200000,MXN,0,Unknown,Cuauhtémoc,Distrito Federal
2817873453,Audi A1 Sportback 1. 5 Sportback 35 Tfsi Ego,Audi,A1,2024,449000,MXN,20240,Unknown,Cuernavaca,Morelos
5023273136,Bmw X5 4.4 V8 M60i,BMW,X5,2025,4449900,MXN,0,Unknown,Lerma,Estado De México
2801139417,Audi Q5 Sq5 Suv,Audi,Q5,2020,1657300,MXN,0,Unknown,Atizapán De Zaragoza,Estado De México
2648413771,Kia Niro Hibrida 1.6 Gdi Ex At,Kia,Niro,2025,727900,MXN,0,Unknown,Culiacán,Sinaloa
2605334923,Volkswagen Virtus 1.6 Msi Trendline At,Volkswagen,Virtus,2025,317990,MXN,0,Unknown,Venustiano Carranza,Distrito Federal
2845701215,Toyota Prius 1.5 Prius C At,Toyota,Prius,2021,295000,MXN,68997,Unknown,Naucalpan,Estado De México
2487268671,Mercedes-benz Sprinter Sprinter 311,Mercedes-Benz,Benz,2025,951807,MXN,0,Unknown,Cuautitlán Izcalli,Estado De México
2824338671,Ford Bronco Sport 2.0t Ecoboost Badlands,Ford,Bronco,2020,939500,MXN,0,Unknown,Alvaro Obregón,Distrito Federal
5139309354,"Nissan March 5 Pts. Hb Sense, Tm5, A/ac., R-14",Nissan,March,2022,212900,MXN,61019,Unknown,Metepec,Estado De México
5139089026,Kia Sportage 2.4 Sxl Awd At,Kia,Sportage,2021,349900,MXN,49000,Unknown,Tlalpan,Distrito Federal
2811452003,Volkswagen Transporter Pasajeros Automatica 8 Pasajeros,Volkswagen,Transporter,2025,780000,MXN,0,Unknown,Córdoba,Veracruz
2833833437,Nissan Kicks 1.6 Bitono Cvt,Nissan,Kicks,2021,309000,MXN,57000,Unknown,Monterrey,Nuevo León
2548833795,Chevrolet Groove 1.5 Lt Mt,Chevrolet,Groove,2025,475900,MXN,0,Unknown,Hermosillo,Sonora
2843078505,Mercedes-benz Clase Cla 1.3 200 7dct,Mercedes-Benz,Benz,2020,790000,MXN,0,Unknown,Huixquilucan,Estado De México
4633545484,Nissan Kicks 2.0 Advance Cvt,Nissan,Kicks,2025,479000,MXN,8463,Unknown,Alvaro Obregón,Distrito Federal
5035150528,Nissan Nv350 2.5 11 Pasajeros Aa,Nissan,Nv350,2023,535000,MXN,38000,Unknown,Tlalnepantla De Baz,Estado De México
5042103286,Audi Q7 3.0 V6 Elite At,Audi,Q7,2015,269000,MXN,91522,Unknown,Monterrey,Nuevo León
2845797745,Hyundai Accent 4p Gl Mid L4/1.6 Aut,Hyundai,Accent,2021,239000,MXN,47592,Unknown,Metepec,Estado De México
2808271511,Toyota Rav4 Limited Hev,Toyota,Rav4,2020,898500,MXN,0,Unknown,Monterrey,Nuevo León
2844981895,Chevrolet Onix Lt,Chevrolet,Onix,2021,189900,MXN,29000,Unknown,Coyoacán,Distrito Federal
4949237492,"Ford Bronco Sport Badlands,2.0l Ecoboost,ta",Ford,Bronco,2020,909500,MXN,0,Unknown,Texcoco,Estado De México
2834192951,Nissan March 1.6 Sense At,Nissan,March,2021,230000,MXN,61273,Unknown,León,Guanajuato
2844387847,Nissan X-trail 2.5 Advance 3 Row Cvt,Nissan,X,2019,269000,MXN,53000,Unknown,Boca Del Río,Veracruz
2752346793,Mercedes-benz Glc 300 4 4matic 5p At,Mercedes-Benz,Benz,2020,1254600,MXN,0,Unknown,Cuajimalpa De Morelos,Distrito Federal
5035417144,Ford Mustang Mach-e 0.0 Gt Awd,Ford,Mustang,2020,1350500,MXN,0,Unknown,Querétaro,Querétaro
4972165004,Ram Ram 1200 2.0 T Tradesman Crew Cab Rwd,RAM,Ram,2020,369000,MXN,0,Unknown,Miguel Hidalgo,Distrito Federal
4693791468,Volkswagen T-cross 1.6 Comfortline At,Volkswagen,T,2021,318000,MXN,190000,Unknown,Tepatitlán De Morelos,Jalisco
5113262934,Volkswagen T-cross 1.6 Comfortline At,Volkswagen,T,2021,298000,MXN,64000,Unknown,Guadalajara,Jalisco
2769449919,Ford Ranger 2.3 Wildtrak 4x4 At,Ford,Ranger,2020,941000,MXN,0,Unknown,Texcoco,Estado De México
5139108498,Volkswagen Virtus 4p Highline L4/1.6 Aut,Volkswagen,Virtus,2023,330000,MXN,34250,Unknown,Coyoacán,Distrito Federal
5119211252,Ford Explorer 3.3 V6 Police Interceptor Awd At,Ford,Explorer,2025,822100,MXN,0,Unknown,Coyoacán,Distrito Federal
4124091646,Jeep Grand Cherokee 3.6 V6 Limited 4x2 At,Jeep,Grand,2025,1444900,MXN,0,Unknown,Mexico,
4168937796,Mercedes-benz Sprinter Cargo 417 Mediana,Mercedes-Benz,Benz,2025,986001,MXN,0,Unknown,Cuautitlán Izcalli,Estado De México
2848776709,Kia Seltos 1.6 Ex At,Kia,Seltos,2022,309900,MXN,30000,Unknown,Venustiano Carranza,Distrito Federal
