make,model,year,price,miles,city,state,vin,trim,exterior_color,condition,engine,transmission,drive_train,fuel_type,body_type,doors,cylinders,horsepower,highway_mpg,city_mpg,car_age,miles_per_year,avg_price_model,price_vs_market,data_source
Chevrolet,Tahoe,2010,15227,77261,Mexico City,MX,SCRAPED2010736404,Base,Silver,Excellent,3.5L V6,Manual,RWD,Gasoline,Truck,4,6,210,33,22,14,5518.642857142857,25317.0,-10090.0,scraping
Volkswagen,Tiguan,2010,5379,133422,Mexico City,MX,SCRAPED2010205891,Limited,White,Good,2.0L Turbo,Automatic,RWD,Hybrid,Truck,4,4,396,29,16,14,9530.142857142857,25830.10714285714,-20451.10714285714,scraping
Nissan,Sentra,2010,8525,74910,Mexico City,MX,SCRAPED2010784170,Base,Red,Excellent,2.5L 4-Cylinder,Automatic,FWD,Diesel,SUV,2,4,312,30,15,14,5350.714285714285,21778.217391304348,-13253.217391304348,scraping
Hyundai,Sonata,2011,15992,20966,Mexico City,MX,SCRAPED2011763845,Limited,Gray,Very Good,3.0L Diesel,Manual,FWD,Hybrid,Truck,2,4,208,20,24,13,1612.7692307692307,27014.347826086956,-11022.347826086956,scraping
BMW,5 Series,2013,33327,138446,Mexico City,MX,SCRAPED2013612285,Premium,White,Very Good,3.0L Diesel,Automatic,RWD,Hybrid,Sedan,4,6,368,35,22,11,12586.0,48771.92857142857,-15444.928571428572,scraping
Toyota,Camry,2011,21609,47462,Mexico City,MX,SCRAPED2011413353,EX,White,Very Good,2.0L Turbo,CVT,FWD,Hybrid,Truck,4,4,336,33,24,13,3650.923076923077,23331.285714285714,-1722.2857142857138,scraping
Nissan,Pathfinder,2012,15625,124383,Mexico City,MX,SCRAPED2012495805,EX,Blue,Fair,2.5L 4-Cylinder,Manual,AWD,Gasoline,SUV,4,8,269,20,15,12,10365.25,24422.72,-8797.720000000001,scraping
Audi,Q7,2010,34051,149911,Mexico City,MX,SCRAPED2010324556,LX,Blue,Fair,3.5L V6,CVT,RWD,Gasoline,Hatchback,4,4,393,32,20,14,10707.92857142857,43610.3,-9559.300000000003,scraping
Honda,Pilot,2012,17319,108124,Mexico City,MX,SCRAPED2012779767,Premium,Blue,Fair,2.0L Turbo,Manual,AWD,Hybrid,Truck,2,6,162,22,22,12,9010.333333333334,20042.933333333334,-2723.9333333333343,scraping
Hyundai,Santa Fe,2015,21044,66583,Mexico City,MX,SCRAPED2015132126,Premium,White,Very Good,2.5L 4-Cylinder,Automatic,RWD,Hybrid,Truck,4,6,277,24,19,9,7398.111111111111,23741.354838709678,-2697.354838709678,scraping
Audi,Q7,2015,34908,147007,Mexico City,MX,SCRAPED2015416963,Base,White,Very Good,2.5L 4-Cylinder,Automatic,AWD,Diesel,Truck,4,4,192,33,20,9,16334.111111111111,43610.3,-8702.300000000003,scraping
Volkswagen,Jetta,2012,13514,117237,Mexico City,MX,SCRAPED2012241610,Premium,Blue,Excellent,2.5L 4-Cylinder,CVT,AWD,Diesel,SUV,4,8,337,20,18,12,9769.75,24905.565217391304,-11391.565217391304,scraping
Volkswagen,Tiguan,2015,21930,72036,Mexico City,MX,SCRAPED2015733919,EX,Black,Fair,2.5L 4-Cylinder,Manual,FWD,Hybrid,Truck,4,4,377,31,16,9,8004.0,25830.10714285714,-3900.1071428571413,scraping
